Hub Code,Hub City,Hub Country,Mission Name,Slug,Duration (Days),Distance (KM),Difficulty,Terrain,Lat,Lng,Route,Key Roads,Highlights,Overnight Stops,Season,Hazards,Description,
SLC,Salt Lake City,USA,Wasatch Ridge Assault,wasatch-ridge-assault,2,390,advanced,mountain pass,40.78,-111.97,SLC → Park City → Guardsman Pass → Provo Canyon → SLC,Hwy 190; Hwy 224,Alpine loops; Wasatch granite peaks; Great Salt Lake views,Park City,Summer,Extreme altitude; wildlife; gravel in hairpin apexes,High-intensity tactical deployment through the Wasatch Range. Features technical passes above 3,000m and alpine forests.
SLC,Salt Lake City,USA,Mirror Lake High Sweep,mirror-lake-sweep,2,420,medium,highland plateau,40.61,-110.85,SLC → Kamas → Mirror Lake Hwy → Evanston → SLC,Hwy 150,Provo River Falls; 10,700ft Bald Mountain Pass; high-speed alpine sweepers,Evanston,Summer,Severe crosswinds on plateaus; mountain livestock; rapid weather shifts,Mission targeting the high Uintas. Features a continuous ascent into alpine tundra with world-class asphalt quality.
SLC,Salt Lake City,USA,Flaming Gorge Recon,flaming-gorge-recon,3,680,advanced,arid canyon,40.91,-109.42,SLC → Vernal → Red Canyon → Manila → SLC,US-191; Hwy 44,Flaming Gorge cliffs; technical canyon hairpins; high-grip basalt roads,Vernal,Late Spring/Autumn,Extreme technical curves; long distances between fuel; rockfall risk,Long-range expedition to the Utah-Wyoming border. Features technical ridge-top curves and dramatic red rock transitions.,
BWI,Baltimore,USA,Chesapeake Bay Reach,chesapeake-bay-reach,2,380,easy,coastal plains,39.17,-76.66,BWI → Annapolis → St. Michaels → Tilghman Island → BWI,Hwy 33; Hwy 50,Chesapeake Bay Bridge; historic maritime ports; island vistas,St. Michaels,Spring/Autumn,Heavy weekend bridge traffic; coastal wind; salt spray,Logistical mission to the Eastern Shore. Features grand-scale coastal infrastructure and smooth,rhythmic coastal sweepers.
BWI,Baltimore,USA,Piedmont Forest Strike,piedmont-forest-strike,2,410,medium,wooded hills,39.63,-76.75,BWI → Patapsco Valley → Westminster → Gettysburg → BWI,MD-25; MD-97,Prettyboy Reservoir; battlefield vistas; historic stone bridges,Gettysburg,Spring/Autumn,Deer activity; moisture in forest shadows; slow-moving farm vehicles,Strategic reconnaissance of the Maryland-Pennsylvania border. Features technical reservoir-side lanes and high cultural density.,
BWI,Baltimore,USA,Catoctin Mountain Recon,catoctin-mountain-recon,2,340,medium,mountain forest,39.61,-77.45,BWI → Frederick → Cunningham Falls → Thurmont → BWI,MD-77; US-15,Covered bridges; technical mountain ascents; Presidential retreat perimeters,Frederick,Summer,Heavy cyclist presence; agricultural residue; sudden summer storms,Tactical deployment into the Catoctin Mountains. Features narrow forest lanes and frequent banking transitions.,
IAD,Washington,USA,Shenandoah Ridge Strike,shenandoah-ridge-strike,3,620,medium,mountain ridge,38.94,-77.45,IAD → Skyline Drive → Luray Caverns → Front Royal → IAD,Skyline Drive; US-211,Blue Ridge Mountains; limestone caverns; ridgeline vistas,Luray,Spring/Autumn,Strict speed enforcement; deer activity; mountain fog,Operational reconnaissance of the Shenandoah National Park. Features the iconic Skyline Drive with 75 scenic overlooks.,
IAD,Washington,USA,Potomac Highlands Recon,potomac-highlands-recon,3,750,advanced,rugged mountain,38.83,-79.35,IAD → Winchester → Seneca Rocks → Spruce Knob → IAD,US-33; WV-28,Seneca Rocks cliffs; high-altitude vistas; technical mountain descents,Petersburg,Spring/Autumn,Technical hairpin saturation; aggressive switchbacks; variable grip,High-intensity deployment into the West Virginia peaks. Features the most technical mountain navigation in the Potomac region.,
IAD,Washington,USA,Gettysburg Battle Recon,gettysburg-battle-recon,2,360,easy,rolling farmland,39.81,-77.22,IAD → Leesburg → Gettysburg → Frederick → IAD,US-15; Route 7,Historic battlefield vistas; 1860s village architecture; canopy roads,Gettysburg,Spring/Autumn,Heavy weekend volume; police enforcement; deer activity,Tactical mission through the historic heartland. Features smooth,low-verticality cruising and high-frequency history stops.
DCA,Washington,USA,Potomac River Mission,potomac-river-mission,2,310,easy,river valley,38.85,-77.04,DCA → Mount Vernon → Great Falls → Leesburg → DCA,George Washington Pkwy,Potomac river vistas; historic plantations; fall foliage,Leesburg,Autumn,Heavy commuter traffic; low speed limits; pedestrian zones,Low-complexity tactical deployment along the Potomac. Features smooth cruising and high cultural/historical density.,
DCA,Washington,USA,Solomons Island Reach,solomons-island-reach,2,340,easy,coastal sweepers,38.32,-76.45,DCA → Waldorf → Solomons Island → Point Lookout → DCA,MD-2; MD-4,Chesapeake maritime views; historic lighthouse stops; river sweepers,Solomons,Spring/Autumn,Strong coastal crosswinds; salt spray; heavy boat-trailer traffic,Strategic reconnaissance of the southern Maryland peninsula. Features rhythmic coastal sweepers and high cultural density.,
DCA,Washington,USA,Northern Neck Frontier,northern-neck-frontier,3,580,medium,river bluffs,38.05,-76.65,DCA → Fredericksburg → Colonial Beach → Montross → DCA,VA-3; VA-205,Birthplaces of Presidents; Potomac river bluffs; quiet rural lanes,Colonial Beach,Late Spring/Autumn,Agricultural machinery; gravel in secondary intersections; moisture on bluffs,Long-range reconnaissance of the historic Northern Neck. Features smooth cruising and secluded river-front vistas.,
YVR,Vancouver,Canada,Sea-to-Sky Mission,sea-to-sky-mission,2,450,medium,coastal mountain,49.19,-123.18,Vancouver → Whistler → Pemberton → Duffy Lake → Vancouver,Hwy 99,Howe Sound vistas; alpine peaks; Duffy Lake twisties,Whistler,Summer,Rockfall risk; heavy weekend volume; rapid weather shifts,The definitive British Columbia deployment. Features the technical Hwy 99 transition from sea level to alpine glaciers.,
YVR,Vancouver,Canada,Sunshine Coast Island Hop,sunshine-coast-hop,3,520,medium,coastal forest,49.45,-123.75,YVR → Sechelt → Powell River → Lund → YVR,Hwy 101,Ferry deployment ops; technical fjord-side roads; Pacific coastal cliffs,Sechelt,Summer,Ferry schedule delays; slippery ferry ramps; logging trucks,Logistical reconnaissance requiring multiple maritime links. Features technical island-style twisties and sea-level vistas.,
YVR,Vancouver,Canada,Manning Park Alpine,manning-park-alpine,2,410,medium,mountain forest,49.05,-120.85,YVR → Hope → Manning Park → Princeton → YVR,Hwy 3,Crowsnest Highway sweepers; subalpine meadows; Cascade mountain peaks,Princeton,Spring/Autumn,Rapid temperature drops; deer hazards; black ice in shoulder seasons,Tactical mountain deployment into the southern Cascades. Features high-speed alpine sweepers and dramatic elevation shifts.,
SAN,San Diego,USA,Palomar Mountain Strike,palomar-mountain-strike,2,340,advanced,technical mountain,32.73,-117.18,San Diego → Palomar Mtn → Julian → Borrego Springs → SAN,S6; Hwy 78,Palomar Observatory; technical hairpins; desert descent,Julian,Year-round,Extreme hairpin frequency; aggressive riders; desert heat,High-intensity technical deployment. South Grade Road (S6) is an operational benchmark for precision cornering and lean angle.,
SAN,San Diego,USA,Anza-Borrego Desert Strike,borrego-desert-strike,2,380,medium,arid plateau,33.21,-116.35,SAN → Montezuma Valley → Borrego Springs → SAN,S-22; Hwy 78,The Glass Elevator descent; desert badlands; Julian gold mining heritage,Borrego Springs,Winter/Spring,Intense desert heat; sand drifts; desert tortoise hazards,Tactical reconnaissance of the southern California badlands. Features a dramatic 4,000ft elevation drop into the desert floor.
SAN,San Diego,USA,Great Southern Overland,southern-overland-recon,2,310,medium,mountain coastal,32.65,-116.65,SAN → Campo → Highway 94 → Tecate border → SAN,Hwy 94; US-80,Technical border twisties; rolling mountain curves; Pacific ocean vistas,Julian,Year-round,High motorcycle volume on weekends; border patrol traffic; technical blind turns,Strategic reconnaissance along the international frontier. Features high-frequency leaning transitions and remote mountain scenery.,
TPA,Tampa,USA,Gulf Coast Ridge Recon,gulf-coast-ridge,2,320,easy,rolling hills,27.97,-82.53,Tampa → Brooksville → Sugarloaf Mountain → San Antonio → Tampa,CR-575; CR-491,Florida 'Highlands'; oak hammocks; rural hill twisties,Brooksville,Winter/Spring,Agricultural vehicles; high humidity; afternoon storms,Logistical reconnaissance of central Florida's rare hilly terrain. Features technical canopy roads and quiet rural lanes.,
TPA,Tampa,USA,Ozello Trail Tactical,ozello-trail-tactical,2,290,advanced,coastal salt marsh,28.82,-82.65,TPA → Homosassa → Crystal River → Ozello → TPA,CR-494,Salt marsh twisties; nine miles of technical banking; manatee springs,Crystal River,Winter/Spring,Coastal wind; salt spray; frequent motorcycle congestion,High-intensity technical reconnaissance of the Gulf Coast. The Ozello Trail is a local benchmark for low-radius precision cornering.,
TPA,Tampa,USA,Withlacoochee Forest Run,withlacoochee-forest-run,2,360,easy,dense forest,28.45,-82.25,TPA → Lutz → Withlacoochee SF → Dade City → TPA,Hwy 41; US-98,Green Swamp twisties; forest canopy lanes; historic Dade City,Inverness,Winter/Spring,Deer hazards at dusk; high humidity; agricultural residues,Tactical forest deployment through the Green Swamp area. Features rhythmic curves and smooth forest-protected asphalt.,
BNA,Nashville,USA,Natchez Trace Mission,natchez-trace-mission,3,750,easy,wooded plateau,36.12,-86.67,Nashville → Natchez Trace Pkwy → Muscle Shoals → Nashville,Natchez Trace Pkwy,Double Arch Bridge; wooded corridors; historic trail sites,Florence,Spring/Autumn,Strict speed enforcement; deer activity; zero commercial traffic,Operational run along the historic Natchez Trace. Features hundreds of miles of smooth,commercial-free wooded riding.
BNA,Nashville,USA,The Snake 421 Reach,snake-421-reach,3,820,advanced,technical mountain,36.55,-81.95,BNA → Cookeville → Mountain City → Shady Valley → BNA,Hwy 421,Iron Mountain hairpins; 489 curves in 37 miles; Holston Lake vistas,Mountain City,Spring/Autumn,Extreme technical curves; mountain fog; aggressive local riders,High-intensity technical deployment targeting the northern Appalachians. Features relentless lean-angle frequency.,
BNA,Nashville,USA,Cumberland Plateau Strike,cumberland-plateau-strike,2,410,medium,sandstone canyon,35.65,-85.5,BNA → Fall Creek Falls → Crossville → Lynchburg → BNA,Hwy 30; TN-1,Fall Creek Falls; sandstone canyons; Jack Daniels distillery,Lynchburg,Spring/Autumn,Technical hairpins on plateau descents; wildlife; tourist traffic,Tactical reconnaissance of the sandstone canyons. Features the technical Hwy 30 corridor and rhythmic mountain transitions.,
YUL,Montréal,Canada,Laurentian Highland Strike,laurentian-strike,2,480,medium,mountain forest,45.46,-73.74,Montréal → Mont-Tremblant → Saint-Donat → Montréal,Route 125; Route 327,Laurentian peaks; glacial lakes; Quebec forest sweepers,Mont-Tremblant,Summer,Logging trucks; potholes; wildlife hazards,Tactical deployment into the Laurentian Mountains. Features technical lake-side roads and high-quality forest corridors.,
YUL,Montréal,Canada,Eastern Townships Ridge,eastern-townships-strike,2,390,easy,rolling hills,45.25,-72.15,YUL → Magog → Route 112 → Lac-Brome → YUL,Route 112; Route 243,Rolling Appalachian hills; historic abbey stops; vineyard vistas,Magog,Late Spring/Autumn,Agricultural machinery; frost pockets; local tourist volume,Logistical reconnaissance of the southern Quebec highlands. Features rhythmic curves and high cultural density.,
YUL,Montréal,Canada,Mont-Mégantic Starry Run,mont-megantic-recon,3,560,medium,rugged plateau,45.45,-71.15,YUL → Sherbrooke → Notre-Dame-des-Bois → YUL,Route 212; Route 257,Dark sky preserve; technical forest climbs; granite ridges,Sherbrooke,Summer,Moose activity at dusk; remote segments; rapid weather shifts,Expedition to the high granite plateaus. Features technical mountain ascents and high-verticality forest sweepers.,
HNL,Honolulu,USA,Oahu Island Perimeter,oahu-island-perimeter,2,310,easy,coastal sweepers,21.31,-157.92,Honolulu → North Shore → Pali Lookout → Honolulu,Hwy 83; Hwy 61,Banzai Pipeline; Nu'uanu Pali cliffs; Pacific vistas,Haleiwa,Year-round,Heavy tourist traffic; sudden tropical rain; salt spray,Strategic coastal reconnaissance of Oahu. Features high-verticality cliff roads and world-famous surf coast vistas.,
HNL,Honolulu,USA,Tantalus Technical Peak,tantalus-technical-peak,2,240,advanced,technical hill,21.33,-157.82,HNL → Tantalus Drive → Round Top Drive → HNL,Tantalus Drive,100+ technical hairpins; Diamond Head vistas; tropical forest canopy,Waikiki,Year-round,Extreme hairpin frequency; walkers/cyclists; moss on apexes,High-intensity technical deployment. Tantalus is a local benchmark for precision braking and low-radius cornering.,
HNL,Honolulu,USA,Jurassic Park H-3 Strike,jurassic-h3-strike,2,210,easy,mountain coastal,21.41,-157.85,HNL → Kaneohe → H-3 Tunnel → Pearl Harbor → HNL,Interstate H-3,Tetsuo Harano Tunnel; Ko'olau Range; tropical mountain vistas,Kaneohe,Year-round,Strong crosswinds at tunnel mouth; tropical rain squalls,Tactical reconnaissance of the Ko'olau Range. Features the most scenic highway crossing in the USA through dense tropical rainforests.,
AUS,Austin,USA,Hill Country Tactical,hill-country-tactical,2,360,medium,karst plateau,30.19,-97.66,Austin → Luckenbach → Willow City Loop → Austin,Hwy 16; Willow City Loop,Granite outcrops; Texas peach country; rhythmic hills,Fredericksburg,Spring,Livestock; low-grip low-water crossings; bluebonnet traffic,Tactical mission through the Texas Hill Country. Includes the Willow City Loop,a technical benchmark for limestone canyons.
AUS,Austin,USA,Three Twisted Sisters,three-twisted-sisters,3,580,advanced,technical mountain,29.75,-99.75,AUS → Leakey → RR 335 → RR 336 → RR 337 → AUS,RR 335; RR 336; RR 337,The Three Sisters; relentless canyon hairpins; Frio River vistas,Leakey,Spring/Autumn,Loose gravel; livestock on road; aggressive local riders,The premier Texas technical deployment. Features over 100 miles of continuous banking and verticality.,
AUS,Austin,USA,Highland Lakes Reach,highland-lakes-strike,2,420,medium,lakeside sweepers,30.65,-98.35,AUS -> Marble Falls -> Llano -> Lake Buchanan -> AUS,Hwy 1431; Hwy 29,Granite Highland vistas; rhythmic lakeside curves; Llano BBQ sites,Marble Falls,Spring/Autumn,Heavy weekend motorcycle volume; agricultural residue,Logistical sweep of the northern Hill Country. Features high-speed stability zones and scenic reservoir loops.,
MDW,Chicago,USA,Lake Michigan Shore,lake-michigan-shore,2,390,easy,coastal dunes,41.78,-87.75,Chicago → Indiana Dunes → Harbor Country → Chicago,Hwy 12; Red Arrow Hwy,Sand dunes; lakeside vineyards; lighthouse stops,New Buffalo,Summer,Heavy beach traffic; sand on road; local speed enforcement,Low-complexity reconnaissance of the southern Lake Michigan coast. Features rhythmic lakeside sweepers and dunes.,
MDW,Chicago,USA,Rock River Valley Mission,rock-river-valley-recon,2,450,medium,river bluffs,41.95,-89.35,MDW → Oregon → Lowden State Park → Dixon → MDW,IL-2,Castle Rock bluffs; Black Hawk monument; rhythmic river sweepers,Dixon,Spring/Autumn,Deer hazards; agricultural machinery; river mist,Strategic reconnaissance of the Rock River corridor. Features scenic bluff-top views and technical valley transitions.,
MDW,Chicago,USA,Galena Driftless Strike,galena-driftless-strike,3,720,medium,rolling hills,42.41,-90.42,MDW → Galena → Mississippi River Bluffs → MDW,IL-84; Great River Rd,Mississippi river vistas; historic Galena architecture; coulee twisties,Galena,Late Spring/Autumn,Agricultural residue; deer activity; river fog,Tactical deployment into the unglaciated Driftless Area. Features constant elevation changes and scenic limestone bluffs.,