Hub Code,Hub City,Hub Country,Mission Name,Slug,Duration (Days),Distance (KM),Difficulty,Terrain,Lat,Lng,Route,Key Roads,Highlights,Overnight Stops,Season,Hazards,Description,
ALC,Alicante,Spain,CV-800 Ridge Climb,cv-800-ridge-climb,1,180,medium,mountain pass,38.6045,-0.4485,Alicante → Xixona → Carrasqueta Pass → Alcoy → Alicante,"CV-800, CV-70","Carrasqueta summit views, Alcoy bridges, Xixona twisties",Alcoy,Autumn/Spring,High wind on the ridge; weekend amateur racer congestion,A high-intensity climb over the CV-800 known for its perfect camber and sweeping bends.,
ALC,Alicante,Spain,Bernia Coastal Recon,bernia-coastal-recon,2,410,advanced,technical mountain,38.7083,-0.0125,Alicante → Benissa → Jalón Valley → Tarbena → Alicante,"CV-750, CV-715","Coll de Rates hairpins, Jalón Valley vineyards, Bernia mountain vistas",Calpe,Spring,Narrow sections on Coll de Rates; frequent cyclist pelotons,Technical navigation through the Sierra de Bernia. Relentless sequence of hairpins.,
ALC,Alicante,Spain,Sierra Espuña Strike,sierra-espuna-strike,3,520,medium,arid peaks,37.8642,-1.5375,Alicante → Cartagena → Totana → Sierra Espuña → Alicante,"RM-502, RM-503","Cartagena naval base, Espuña peak vistas, Lorca castle","Totana, Cartagena",Winter/Spring,Intense heat in valley floors; loose gravel on secondary peaks,Arid terrain mission targeting the highest peaks of the Murcia region.,
ALC,Alicante,Spain,Guadalest Fortress Loop,guadalest-fortress-loop,2,360,easy,mountain foothills,38.6775,-0.2033,Alicante → Villajoyosa → Guadalest → Callosa → Alicante,"CV-70, CV-755","Guadalest reservoir, Medieval fortress, Fruit valley roads",Guadalest,Spring,Tourist buses on CV-70; agricultural residue on road surface,A low-complexity mission focusing on rhythmic valley riding and cultural fortification sites.,
ALC,Alicante,Spain,Cabo de Gata Expedition,cabo-de-gata-expedition,3,780,medium,volcanic coastal,36.7214,-2.2033,Alicante → Mojacar → San José → Cabo de Gata → Alicante,"N-340, AL-3115","Playa de los Genoveses, Arrecife de las Sirenas, Mojacar Pueblo","Mojacar, San José",Autumn,Sand drifts on road; extreme crosswinds at coastal headlands,Long-range coastal mission into the volcanic Almerian desert.,
AMS,Amsterdam,Netherlands,Zeeland Delta Transit,zeeland-delta-transit,2,420,easy,coastal defense,51.6254,3.7121,Amsterdam → Rotterdam → Neeltje Jans → Middelburg → Amsterdam,"N57, N59","Oosterscheldekering, Veere harbor, Rotterdam skyline",Middelburg,Summer,Gale force crosswinds on dikes; heavy bridge traffic,A high-speed transit across the Netherlands' coastal defenses.,
AMS,Amsterdam,Netherlands,Veluwe Forest Recon,veluwe-forest-recon,2,390,easy,forest roads,52.1221,5.8341,Amsterdam → Apeldoorn → Arnhem → Otterlo → Amsterdam,"N310, N302","Hoge Veluwe National Park, Radio Kootwijk, Arnhem forest loops",Arnhem,Autumn,Wildlife at dusk; slippery leaf cover in October,Strategic deployment through the central forest massif.,
AMS,Amsterdam,Netherlands,Frisian Polder Sweep,frisian-polder-sweep,3,650,easy,flat polders,53.0333,5.6667,Amsterdam → Afsluitdijk → Sneek → Giethoorn → Amsterdam,"A7, N354","Afsluitdijk run, Giethoorn canals, Sneek Waterpoort","Sneek, Giethoorn",Summer,Ferry crossings; high humidity on morning tarmac,Mission covering the northern aquatic landscape including the 32km Afsluitdijk.,
AMS,Amsterdam,Netherlands,South Limburg Incursion,south-limburg-incursion,3,580,medium,rolling hills,50.8514,5.6911,Amsterdam → Utrecht → Maastricht → Valkenburg → Amsterdam,"N278, Mergellandroute","Cauberg climb, Three-Country Point, Marlstone caves",Maastricht,Late Spring,Technical hairpins in Valkenburg; extreme cyclist density,Deployment to the Netherlands' only hilly terrain.,
AMS,Amsterdam,Netherlands,North Sea Dune Run,north-sea-dune-run,2,340,easy,coastal dunes,52.6324,4.7507,Amsterdam → Zandvoort → Alkmaar → Den Helder → Amsterdam,"N200, N502","Zandvoort circuit area, Alkmaar cheese market, North sea vistas",Alkmaar,Summer,Sand on road surface; heavy beach traffic on weekends,Coastal reconnaissance targeting the dune roads of North Holland.,
ARN,Stockholm,Sweden,Mälaren Lake Loop,malaren-lake-loop,1,240,easy,lakeside sweepers,59.6112,17.0718,Stockholm → Uppsala → Västerås → Enköping → Stockholm,"Road 55, Road 263","Uppsala Cathedral, Lake Mälaren shoreline, Gripsholm Castle",Västerås,Summer,Moose activity at dusk; gravel in rural intersections,A classic Nordic deployment through forest corridors and lakeside roads.,
ARN,Stockholm,Sweden,Archipelago Technical Reach,archipelago-technical-reach,2,320,medium,coastal island,59.7583,18.7058,Stockholm → Vaxholm → Norrtälje → Grisslehamn → Stockholm,"Road 276, Road 283","Vaxholm Fortress, Grisslehamn harbor, Island-hopping ferry",Norrtälje,June - August,Ferry wait times; sea spray on tight coastal turns,Tactical navigation of the Stockholm archipelago via multiple ferry deployments.,
ARN,Stockholm,Sweden,Bergslagen Forest Strike,bergslagen-forest-strike,3,750,medium,dense forest,59.9881,15.8122,Stockholm → Sala → Fagersta → Örebro → Stockholm,"Road 70, Road 66","Sala Silver Mine, Bergslagen mining heritage, Lake Hjälmaren views","Fagersta, Örebro",Late Spring,Logging trucks; varying asphalt grip in forest shadows,Long-range mission into Sweden's industrial heartland.,
ARN,Stockholm,Sweden,Sörmland Manor Run,sormland-manor-run,2,390,medium,rolling farmland,58.8541,17.1511,Stockholm → Nyköping → Katrineholm → Trosa → Stockholm,"Road 219, Road 223","Road 219 technical stretch, Trosa seaside, Sörmland manor houses",Nyköping,Autumn,Deer hazards; extremely tight technical turns on Road 219,Operational recon of the southern Baltic coast.,
ARN,Stockholm,Sweden,Uppland Coastal Sweep,uppland-coastal-sweep,2,410,easy,coastal plains,60.3394,18.4419,Stockholm → Öregrund → Forsmark → Hallstavik → Stockholm,"Road 76, Road 288","Öregrund harbor, Coastal forest lanes, Forsmark site",Öregrund,Summer,Agricultural vehicles; tourist traffic in harbor towns,Coastal deployment focusing on the northern Uppland region.,
ATH,Athens,Greece,Peloponnese Switchback Strike,peloponnese-switchback-strike,2,450,advanced,mountain pass,37.5675,22.8014,Athens → Corinth → Achladokampos → Nafplion → Athens,"E65, EO7","Corinth Canal, Achladokampos hairpins, Nafplion fortress",Nafplion,Spring/Autumn,Extreme switchbacks; rockfall in mountain passes,High-intensity technical mission featuring 1,000m elevation transitions.,
ATH,Athens,Greece,Arcadian Mountain Mission,arcadian-mountain-mission,2,480,medium,mountain pass,37.6492,22.1819,Athens → Tripoli → Vitina → Dimitsana → Athens,"EO74, EO33","Lousios Gorge, Vitina forest roads, Dimitsana village",Vitina,Late Spring,Gravel on apexes; local livestock on road,Strategic deployment into the Peloponnese heartland.,
ATH,Athens,Greece,Evia Island Strike,evia-island-strike,2,540,medium,island coastal,38.6167,24.1,Athens → Chalcis → Kymi → Eretria → Athens,"EO44, EO77","Chalcis bridge, Aegean cliff vistas, Kymi harbor",Kymi,Autumn,Strong Meltemi winds; variable grip quality on coastal lanes,Expedition to Greece's second-largest island.,
ATH,Athens,Greece,Parnassus Oracle Run,parnassus-oracle-run,2,410,medium,alpine plateau,38.48,22.5,Athens → Arachova → Delphi → Galaxidi → Athens,E65; Arachova Pass,"Delphi sanctuary, Arachova alpine village, Galaxidi port",Arachova,Spring,Black ice in early spring; tourist buses in Delphi sector,Mountain mission targeting the Parnassus massif.,
ATH,Athens,Greece,Cape Sounion Recon,cape-sounion-recon,2,320,easy,coastal sweepers,37.65,24.02,Athens → Sounion → Lavrio → Porto Rafti → Athens,"EO91, EO89","Temple of Poseidon, Lavrio mines, Attic coastal run",Lavrio,Winter/Spring,Heavy evening traffic; salt content on road surface,Low-complexity coastal reconnaissance of the Attic peninsula.,
BER,Berlin,Germany,Kyffhäuser Technical Sweep,kyffhauser-technical-sweep,3,680,advanced,technical mountain,51.4114,11.0614,Berlin → Harz → Kyffhäuser → Nordhausen → Berlin,"B85, B242","Kyffhäuser monument, Harz mountain twisties, B85 36-curve sector","Nordhausen, Wernigerode",Summer,Extremely aggressive hairpins on Kyffhäuser; mountain fog,The B85 section is a world-class test of cornering synchronization.,
BGY,Milan Bergamo,Italy,Stelvio-Gavia High Reach,stelvio-gavia-high-reach,3,540,advanced,alpine pass,46.5286,10.4531,Bergamo → Bormio → Passo dello Stelvio → Passo Gavia → Bergamo,"SS38, SP29","Stelvio hairpins, Gavia abyss views, Bormio thermal springs",Bormio,July - September,Narrow tunnels on Gavia; barrier-free cliff edges; extreme altitude,The definitive Alpine mission crossing world-class technical passes.